chapter,dialogue,speaker,receiver
1.1,“How on earth did you know that?”,John Watson,Sherlock Holmes
1.1,"“Never mind,”",Sherlock Holmes,John Watson
1.1,“The question now is about hæmoglobin. No doubt you see the significance of this discovery of mine?”,Sherlock Holmes,John Watson
1.1,"“It is interesting, chemically, no doubt,”",John Watson,Sherlock Holmes
1.1,“but practically——”,John Watson,Sherlock Holmes
1.1,"“Why, man, it is the most practical medico-legal discovery for years. Don’t you see that it gives us an infallible test for blood stains. Come over here now!”",Sherlock Holmes,John Watson
1.1,"“Let us have some fresh blood,”",Sherlock Holmes,John Watson
1.1,"“Now, I add this small quantity of blood to a litre of water. You perceive that the resulting mixture has the appearance of pure water. The proportion of blood cannot be more than one in a million. I have no doubt, however, that we shall be able to obtain the characteristic reaction.”",Sherlock Holmes,John Watson
1.1,“Ha! ha!”,Sherlock Holmes,John Watson
1.1,“What do you think of that?”,Sherlock Holmes,John Watson
1.1,"“It seems to be a very delicate test,”",John Watson,Sherlock Holmes
1.1,"“Beautiful! beautiful! The old Guiacum test was very clumsy and uncertain. So is the microscopic examination for blood corpuscles. The latter is valueless if the stains are a few hours old. Now, this appears to act as well whether the blood is old or new. Had this test been invented, there are hundreds of men now walking the earth who would long ago have paid the penalty of their crimes.”",Sherlock Holmes,John Watson
1.1,“Indeed!”,John Watson,Sherlock Holmes
1.1,"“Criminal cases are continually hinging upon that one point. A man is suspected of a crime months perhaps after it has been committed. His linen or clothes are examined, and brownish stains discovered upon them. Are they blood stains, or mud stains, or rust stains, or fruit stains, or what are they? That is a question which has puzzled many an expert, and why? Because there was no reliable test. Now we have the Sherlock Holmes’ test, and there will no longer be any difficulty.”",Sherlock Holmes,John Watson
1.1,"“You are to be congratulated,”",John Watson,Sherlock Holmes
1.1,"“There was the case of Von Bischoff at Frankfort last year. He would certainly have been hung had this test been in existence. Then there was Mason of Bradford, and the notorious Muller, and Lefevre of Montpellier, and Samson of New Orleans. I could name a score of cases in which it would have been decisive.”",Sherlock Holmes,John Watson
1.1,"“You seem to be a walking calendar of crime,”",Stamford,Sherlock Holmes
1.1,“You might start a paper on those lines. Call it the ‘Police News of the Past.’”,Stamford,Sherlock Holmes
1.1,"“Very interesting reading it might be made, too,”",Sherlock Holmes,Stamford
1.1,"“I have to be careful,”",Sherlock Holmes,Stamford
1.1,“for I dabble with poisons a good deal.”,Sherlock Holmes,John Watson
1.1,"“We came here on business,”",Stamford,Sherlock Holmes
1.1,"“My friend here wants to take diggings, and as you were complaining that you could get no one to go halves with you, I thought that I had better bring you together.”",Stamford,Sherlock Holmes
1.1,"“I have my eye on a suite in Baker Street,”",Sherlock Holmes,John Watson
1.1,"“which would suit us down to the ground. You don’t mind the smell of strong tobacco, I hope?”",Sherlock Holmes,John Watson
1.1,"“I always smoke ‘ship’s’ myself,”",John Watson,Sherlock Holmes
1.1,"“That’s good enough. I generally have chemicals about, and occasionally do experiments. Would that annoy you?”",Sherlock Holmes,John Watson
1.1,“By no means.”,John Watson,Sherlock Holmes
1.1,"“Let me see—what are my other shortcomings. I get in the dumps at times, and don’t open my mouth for days on end. You must not think I am sulky when I do that. Just let me alone, and I’ll soon be right. What have you to confess now? It’s just as well for two fellows to know the worst of one another before they begin to live together.”",Sherlock Holmes,John Watson
1.1,"“I keep a bull pup,”",John Watson,Sherlock Holmes
1.1,"“and I object to rows because my nerves are shaken, and I get up at all sorts of ungodly hours, and I am extremely lazy. I have another set of vices when I’m well, but those are the principal ones at present.”",John Watson,Sherlock Holmes
1.1,“Do you include violin-playing in your category of rows?”,Sherlock Holmes,John Watson
1.1,"“It depends on the player,”",John Watson,Sherlock Holmes
1.1,“A well-played violin is a treat for the gods—a badly-played one——”,John Watson,Sherlock Holmes
1.1,"“Oh, that’s all right,”",Sherlock Holmes,John Watson
1.1,"“I think we may consider the thing as settled—that is, if the rooms are agreeable to you.”",Sherlock Holmes,John Watson
1.1,“When shall we see them?”,John Watson,Sherlock Holmes
1.1,"“Call for me here at noon to-morrow, and we’ll go together and settle everything,”",Sherlock Holmes,John Watson
1.1,"“All right—noon exactly,”",John Watson,Sherlock Holmes
1.1,"“By the way,”",John Watson,Stamford
1.1,“how the deuce did he know that I had come from Afghanistan?”,John Watson,Stamford
1.1,"“That’s just his little peculiarity,”",Stamford,John Watson
1.1,“A good many people have wanted to know how he finds things out.”,Stamford,John Watson
1.1,“Oh! a mystery is it?”,John Watson,Stamford
1.1,"“This is very piquant. I am much obliged to you for bringing us together. ‘The proper study of mankind is man,’ you know.”",John Watson,Stamford
1.1,"“You must study him, then,”",Stamford,John Watson
1.1,"“You’ll find him a knotty problem, though. I’ll wager he learns more about you than you about him. Good-bye.”",Stamford,John Watson
1.1,"“Good-bye,”",John Watson,Stamford
1.2,"“You appear to be astonished,”",Sherlock Holmes,John Watson
1.2,“Now that I do know it I shall do my best to forget it.”,Sherlock Holmes,John Watson
1.2,“To forget it!”,John Watson,Sherlock Holmes
1.2,"“You see,”",Sherlock Holmes,John Watson
1.2,"“I consider that a man’s brain originally is like a little empty attic, and you have to stock it with such furniture as you choose. A fool takes in all the lumber of every sort that he comes across, so that the knowledge which might be useful to him gets crowded out, or at best is jumbled up with a lot of other things so that he has a difficulty in laying his hands upon it. Now the skilful workman is very careful indeed as to what he takes into his brain-attic. He will have nothing but the tools which may help him in doing his work, but of these he has a large assortment, and all in the most perfect order. It is a mistake to think that that little room has elastic walls and can distend to any extent. Depend upon it there comes a time when for every addition of knowledge you forget something that you knew before. It is of the highest importance, therefore, not to have useless facts elbowing out the useful ones.”",Sherlock Holmes,John Watson
1.2,“But the Solar System!”,John Watson,Sherlock Holmes
1.2,“What the deuce is it to me?”,Sherlock Holmes,John Watson
1.2,“you say that we go round the sun. If we went round the moon it would not make a pennyworth of difference to me or to my work.”,Sherlock Holmes,John Watson
1.2,"“If I can only find what the fellow is driving at by reconciling all these accomplishments, and discovering a calling which needs them all,”",John Watson,
1.2,“I may as well give up the attempt at once.”,John Watson,
1.2,"“I have to use this room as a place of business,”",Sherlock Holmes,John Watson
1.2,“and these people are my clients.”,Sherlock Holmes,John Watson
1.2,"“From a drop of water,”",John Watson,
1.2,"“a logician could infer the possibility of an Atlantic or a Niagara without having seen or heard of one or the other. So all life is a great chain, the nature of which is known whenever we are shown a single link of it. Like all other arts, the Science of Deduction and Analysis is one which can only be acquired by long and patient study, nor is life long enough to allow any mortal to attain the highest possible perfection in it. Before turning to those moral and mental aspects of the matter which present the greatest difficulties, let the enquirer begin by mastering more elementary problems. Let him, on meeting a fellow-mortal, learn at a glance to distinguish the history of the man, and the trade or profession to which he belongs. Puerile as such an exercise may seem, it sharpens the faculties of observation, and teaches one where to look and what to look for. By a man’s finger nails, by his coat-sleeve, by his boot, by his trouser knees, by the callosities of his forefinger and thumb, by his expression, by his shirt cuffs—by each of these things a man’s calling is plainly revealed. That all united should fail to enlighten the competent enquirer in any case is almost inconceivable.”",John Watson,
1.2,“What ineffable twaddle!”,John Watson,Sherlock Holmes
1.2,“I never read such rubbish in my life.”,John Watson,Sherlock Holmes
1.2,“What is it?”,Sherlock Holmes,John Watson
1.2,"“Why, this article,”",John Watson,Sherlock Holmes
1.2,"“I see that you have read it since you have marked it. I don’t deny that it is smartly written. It irritates me though. It is evidently the theory of some arm-chair lounger who evolves all these neat little paradoxes in the seclusion of his own study. It is not practical. I should like to see him clapped down in a third class carriage on the Underground, and asked to give the trades of all his fellow-travellers. I would lay a thousand to one against him.”",John Watson,Sherlock Holmes
1.2,"“You would lose your money,”",Sherlock Holmes,John Watson
1.2,“As for the article I wrote it myself.”,Sherlock Holmes,John Watson
1.2,“You!”,John Watson,Sherlock Holmes
1.2,"“Yes, I have a turn both for observation and for deduction. The theories which I have expressed there, and which appear to you to be so chimerical are really extremely practical—so practical that I depend upon them for my bread and cheese.”",Sherlock Holmes,John Watson
1.2,“And how?”,John Watson,Sherlock Holmes
1.2,"“Well, I have a trade of my own. I suppose I am the only one in the world. I’m a consulting detective, if you can understand what that is. Here in London we have lots of Government detectives and lots of private ones. When these fellows are at fault they come to me, and I manage to put them on the right scent. They lay all the evidence before me, and I am generally able, by the help of my knowledge of the history of crime, to set them straight. There is a strong family resemblance about misdeeds, and if you have all the details of a thousand at your finger ends, it is odd if you can’t unravel the thousand and first. Lestrade is a well-known detective. He got himself into a fog recently over a forgery case, and that was what brought him here.”",Sherlock Holmes,John Watson
1.2,“And these other people?”,John Watson,Sherlock Holmes
1.2,"“They are mostly sent on by private inquiry agencies. They are all people who are in trouble about something, and want a little enlightening. I listen to their story, they listen to my comments, and then I pocket my fee.”",Sherlock Holmes,John Watson
1.2,"“But do you mean to say,”",John Watson,Sherlock Holmes
1.2,"“that without leaving your room you can unravel some knot which other men can make nothing of, although they have seen every detail for themselves?”",John Watson,Sherlock Holmes
1.2,"“Quite so. I have a kind of intuition that way. Now and again a case turns up which is a little more complex. Then I have to bustle about and see things with my own eyes. You see I have a lot of special knowledge which I apply to the problem, and which facilitates matters wonderfully. Those rules of deduction laid down in that article which aroused your scorn, are invaluable to me in practical work. Observation with me is second nature. You appeared to be surprised when I told you, on our first meeting, that you had come from Afghanistan.”",Sherlock Holmes,John Watson
1.2,"“You were told, no doubt.”",John Watson,Sherlock Holmes
1.2,"“Nothing of the sort. I knew you came from Afghanistan. From long habit the train of thoughts ran so swiftly through my mind, that I arrived at the conclusion without being conscious of intermediate steps. There were such steps, however. The train of reasoning ran, ‘Here is a gentleman of a medical type, but with the air of a military man. Clearly an army doctor, then. He has just come from the tropics, for his face is dark, and that is not the natural tint of his skin, for his wrists are fair. He has undergone hardship and sickness, as his haggard face says clearly. His left arm has been injured. He holds it in a stiff and unnatural manner. Where in the tropics could an English army doctor have seen much hardship and got his arm wounded? Clearly in Afghanistan.’ The whole train of thought did not occupy a second. I then remarked that you came from Afghanistan, and you were astonished.”",Sherlock Holmes,John Watson
1.2,"“It is simple enough as you explain it,”",John Watson,Sherlock Holmes
1.2,“You remind me of Edgar Allen Poe’s Dupin. I had no idea that such individuals did exist outside of stories.”,John Watson,Sherlock Holmes
1.2,"“No doubt you think that you are complimenting me in comparing me to Dupin,”",Sherlock Holmes,John Watson
1.2,"“Now, in my opinion, Dupin was a very inferior fellow. That trick of his of breaking in on his friends’ thoughts with an apropos remark after a quarter of an hour’s silence is really very showy and superficial. He had some analytical genius, no doubt; but he was by no means such a phenomenon as Poe appeared to imagine.”",Sherlock Holmes,John Watson
1.2,“Have you read Gaboriau’s works?”,John Watson,Sherlock Holmes
1.2,“Does Lecoq come up to your idea of a detective?”,John Watson,Sherlock Holmes
1.2,"“Lecoq was a miserable bungler,”",Sherlock Holmes,John Watson
1.2,"“he had only one thing to recommend him, and that was his energy. That book made me positively ill. The question was how to identify an unknown prisoner. I could have done it in twenty-four hours. Lecoq took six months or so. It might be made a text-book for detectives to teach them what to avoid.”",Sherlock Holmes,John Watson
1.2,"“This fellow may be very clever,”",John Watson,
1.2,“but he is certainly very conceited.”,John Watson,
1.2,"“There are no crimes and no criminals in these days,”",Sherlock Holmes,John Watson
1.2,"“What is the use of having brains in our profession. I know well that I have it in me to make my name famous. No man lives or has ever lived who has brought the same amount of study and of natural talent to the detection of crime which I have done. And what is the result? There is no crime to detect, or, at most, some bungling villainy with a motive so transparent that even a Scotland Yard official can see through it.”",Sherlock Holmes,John Watson
1.2,“I wonder what that fellow is looking for?”,John Watson,Sherlock Holmes
1.2,"“You mean the retired sergeant of Marines,”",Sherlock Holmes,John Watson
1.2,“Brag and bounce!”,John Watson,
1.2,“He knows that I cannot verify his guess.”,John Watson,
1.2,"“For Mr. Sherlock Holmes,”",Commissionaire,Sherlock Holmes
1.2,"“May I ask, my lad,”",John Watson,Commissionaire
1.2,“what your trade may be?”,John Watson,Commissionaire
1.2,"“Commissionaire, sir,”",Commissionaire,John Watson
1.2,“Uniform away for repairs.”,Commissionaire,John Watson
1.2,“And you were?”,John Watson,Commissionaire
1.2,"“A sergeant, sir, Royal Marine Light Infantry, sir. No answer? Right, sir.”",Commissionaire,John Watson
1.3,“How in the world did you deduce that?”,John Watson,Sherlock Holmes
1.3,“Deduce what?”,Sherlock Holmes,John Watson
1.3,"“Why, that he was a retired sergeant of Marines.”",John Watson,Sherlock Holmes
1.3,"“I have no time for trifles,”",Sherlock Holmes,John Watson
1.3,“Excuse my rudeness. You broke the thread of my thoughts; but perhaps it is as well. So you actually were not able to see that that man was a sergeant of Marines?”,Sherlock Holmes,John Watson
1.3,"“No, indeed.”",John Watson,Sherlock Holmes
1.3,"“It was easier to know it than to explain why I knew it. If you were asked to prove that two and two made four, you might find some difficulty, and yet you are quite sure of the fact. Even across the street I could see a great blue anchor tattooed on the back of the fellow’s hand. That smacked of the sea. He had a military carriage, however, and regulation side whiskers. There we have the marine. He was a man with some amount of self-importance and a certain air of command. You must have observed the way in which he held his head and swung his cane. A steady, respectable, middle-aged man, too, on the face of him—all facts which led me to believe that he had been a sergeant.”",Sherlock Holmes,John Watson
1.3,“Wonderful!”,John Watson,Sherlock Holmes
1.3,"“Commonplace,”",Sherlock Holmes,John Watson
1.3,“I said just now that there were no criminals. It appears that I am wrong—look at this!”,Sherlock Holmes,John Watson
1.3,"“Why,”",John Watson,Sherlock Holmes
1.3,“this is terrible!”,John Watson,Sherlock Holmes
1.3,"“It does seem to be a little out of the common,”",Sherlock Holmes,John Watson
1.3,“Would you mind reading it to me aloud?”,Sherlock Holmes,John Watson
1.3,"“MY DEAR MR. SHERLOCK HOLMES,—",John Watson,Sherlock Holmes
1.3,"“There has been a bad business during the night at 3, Lauriston Gardens, off the Brixton Road. Our man on the beat saw a light there about two in the morning, and as the house was an empty one, suspected that something was amiss. He found the door open, and in the front room, which is bare of furniture, discovered the body of a gentleman, well dressed, and having cards in his pocket bearing the name of ‘Enoch J. Drebber, Cleveland, Ohio, U.S.A.’ There had been no robbery, nor is there any evidence as to how the man met his death. There are marks of blood in the room, but there is no wound upon his person. We are at a loss as to how he came into the empty house; indeed, the whole affair is a puzzler. If you can come round to the house any time before twelve, you will find me there. I have left everything in statu quo until I hear from you. If you are unable to come I shall give you fuller details, and would esteem it a great kindness if you would favour me with your opinion.",John Watson,Sherlock Holmes
1.3,"Yours faithfully,",John Watson,Sherlock Holmes
1.3,“TOBIAS GREGSON.”,John Watson,Sherlock Holmes
1.3,"“Gregson is the smartest of the Scotland Yarders,”",Sherlock Holmes,John Watson
1.3,"“he and Lestrade are the pick of a bad lot. They are both quick and energetic, but conventional—shockingly so. They have their knives into one another, too. They are as jealous as a pair of professional beauties. There will be some fun over this case if they are both put upon the scent.”",Sherlock Holmes,John Watson
1.3,"“Surely there is not a moment to be lost,”",John Watson,Sherlock Holmes
1.3,“shall I go and order you a cab?”,John Watson,Sherlock Holmes
1.3,"“I’m not sure about whether I shall go. I am the most incurably lazy devil that ever stood in shoe leather—that is, when the fit is on me, for I can be spry enough at times.”",Sherlock Holmes,John Watson
1.3,"“Why, it is just such a chance as you have been longing for.”",John Watson,Sherlock Holmes
1.3,"“My dear fellow, what does it matter to me. Supposing I unravel the whole matter, you may be sure that Gregson, Lestrade, and Co. will pocket all the credit. That comes of being an unofficial personage.”",Sherlock Holmes,John Watson
1.3,“But he begs you to help him.”,John Watson,Sherlock Holmes
1.3,"“Yes. He knows that I am his superior, and acknowledges it to me; but he would cut his tongue out before he would own it to any third person. However, we may as well go and have a look. I shall work it out on my own hook. I may have a laugh at them if I have nothing else. Come on!”",Sherlock Holmes,John Watson
1.3,"“Get your hat,”",Sherlock Holmes,John Watson
1.3,“You wish me to come?”,John Watson,Sherlock Holmes
1.3,"“Yes, if you have nothing better to do.”",Sherlock Holmes,John Watson
1.3,"“You don’t seem to give much thought to the matter in hand,”",John Watson,Sherlock Holmes
1.3,"“No data yet,”",Sherlock Holmes,John Watson
1.3,“It is a capital mistake to theorize before you have all the evidence. It biases the judgment.”,Sherlock Holmes,John Watson
1.3,"“You will have your data soon,”",John Watson,Sherlock Holmes
1.3,"“this is the Brixton Road, and that is the house, if I am not very much mistaken.”",John Watson,Sherlock Holmes
1.3,"“So it is. Stop, driver, stop!”",Sherlock Holmes,Cab Driver
1.3,"“It is indeed kind of you to come,”",Gregson,Sherlock Holmes
1.3,“I have had everything left untouched.”,Gregson,Sherlock Holmes
1.3,“Except that!”,Sherlock Holmes,Gregson
1.3,"“If a herd of buffaloes had passed along there could not be a greater mess. No doubt, however, you had drawn your own conclusions, Gregson, before you permitted this.”",Sherlock Holmes,Gregson
1.3,"“I have had so much to do inside the house,”",Gregson,Sherlock Holmes
1.3,"“My colleague, Mr. Lestrade, is here. I had relied upon him to look after this.”",Gregson,Sherlock Holmes
1.3,"“With two such men as yourself and Lestrade upon the ground, there will not be much for a third party to find out,”",Sherlock Holmes,Gregson
1.3,"“I think we have done all that can be done,”",Gregson,Sherlock Holmes
1.3,"“it’s a queer case though, and I knew your taste for such things.”",Gregson,Sherlock Holmes
1.3,“You did not come here in a cab?”,Sherlock Holmes,Gregson
1.3,"“No, sir.”",Gregson,Sherlock Holmes
1.3,“Nor Lestrade?”,Sherlock Holmes,Gregson
1.3,"“No, sir.”",Gregson,Sherlock Holmes
1.3,“Then let us go and look at the room.”,Sherlock Holmes,Gregson
1.3,"“This case will make a stir, sir,”",Lestrade,Gregson
1.3,"“It beats anything I have seen, and I am no chicken.”",Lestrade,Gregson
1.3,“There is no clue?”,Gregson,Lestrade
1.3,"“None at all,”",Lestrade,Gregson
1.3,“You are sure that there is no wound?”,Sherlock Holmes,Lestrade
1.3,“You are sure that there is no wound?”,Sherlock Holmes,Gregson
1.3,“Positive!”,Gregson,Sherlock Holmes
1.3,“Positive!”,Lestrade,Sherlock Holmes
1.3,"“Then, of course, this blood belongs to a second individual—presumably the murderer, if murder has been committed. It reminds me of the circumstances attendant on the death of Van Jansen, in Utrecht, in the year ‘34. Do you remember the case, Gregson?”",Sherlock Holmes,Gregson
1.3,"“No, sir.”",Gregson,Sherlock Holmes
1.3,“Read it up—you really should. There is nothing new under the sun. It has all been done before.”,Sherlock Holmes,Gregson
1.3,“He has not been moved at all?”,Sherlock Holmes,Gregson
1.3,“No more than was necessary for the purposes of our examination.”,Gregson,Sherlock Holmes
1.3,"“You can take him to the mortuary now,”",Sherlock Holmes,Gregson
1.3,“There is nothing more to be learned.”,Sherlock Holmes,Gregson
1.3,"“There’s been a woman here,”",Lestrade,Sherlock Holmes
1.3,“It’s a woman’s wedding-ring.”,Lestrade,Sherlock Holmes
1.3,"“There’s been a woman here,”",Lestrade,Gregson
1.3,“It’s a woman’s wedding-ring.”,Lestrade,Gregson
1.3,"“There’s been a woman here,”",Lestrade,John Watson
1.3,“It’s a woman’s wedding-ring.”,Lestrade,John Watson
1.3,"“This complicates matters,”",Gregson,John Watson
1.3,"“Heaven knows, they were complicated enough before.”",Gregson,John Watson
1.3,"“This complicates matters,”",Gregson,Sherlock Holmes
1.3,"“Heaven knows, they were complicated enough before.”",Gregson,Sherlock Holmes
1.3,"“This complicates matters,”",Gregson,Lestrade
1.3,"“Heaven knows, they were complicated enough before.”",Gregson,Lestrade
1.3,“You’re sure it doesn’t simplify them?”,Sherlock Holmes,Gregson
1.3,“There’s nothing to be learned by staring at it. What did you find in his pockets?”,Sherlock Holmes,Gregson
1.3,"“We have it all here,”",Gregson,Sherlock Holmes
1.3,"“A gold watch, No. 97163, by Barraud, of London. Gold Albert chain, very heavy and solid. Gold ring, with masonic device. Gold pin—bull-dog’s head, with rubies as eyes. Russian leather card-case, with cards of Enoch J. Drebber of Cleveland, corresponding with the E. J. D. upon the linen. No purse, but loose money to the extent of seven pounds thirteen. Pocket edition of Boccaccio’s Decameron, with name of Joseph Stangerson upon the fly-leaf. Two letters—one addressed to E. J. Drebber and one to Joseph Stangerson.”",Gregson,Sherlock Holmes
1.3,“At what address?”,Sherlock Holmes,Gregson
1.3,"“American Exchange, Strand—to be left till called for. They are both from the Guion Steamship Company, and refer to the sailing of their boats from Liverpool. It is clear that this unfortunate man was about to return to New York.”",Gregson,Sherlock Holmes
1.3,"“Have you made any inquiries as to this man, Stangerson?”",Sherlock Holmes,Gregson
1.3,"“I did it at once, sir,”",Gregson,Sherlock Holmes
1.3,"“I have had advertisements sent to all the newspapers, and one of my men has gone to the American Exchange, but he has not returned yet.”",Gregson,Sherlock Holmes
1.3,“Have you sent to Cleveland?”,Sherlock Holmes,Gregson
1.3,“We telegraphed this morning.”,Gregson,Sherlock Holmes
1.3,“How did you word your inquiries?”,Sherlock Holmes,Gregson
1.3,"“We simply detailed the circumstances, and said that we should be glad of any information which could help us.”",Gregson,Sherlock Holmes
1.3,“You did not ask for particulars on any point which appeared to you to be crucial?”,Sherlock Holmes,Gregson
1.3,“I asked about Stangerson.”,Gregson,Sherlock Holmes
1.3,“Nothing else? Is there no circumstance on which this whole case appears to hinge? Will you not telegraph again?”,Sherlock Holmes,Gregson
1.3,"“I have said all I have to say,”",Gregson,Sherlock Holmes
1.3,"“Mr. Gregson,”",Sherlock Holmes,Gregson
1.3,"“I have just made a discovery of the highest importance, and one which would have been overlooked had I not made a careful examination of the walls.”",Sherlock Holmes,Gregson
1.3,"“Come here,”",Sherlock Holmes,Gregson
1.3,"“Now, stand there!”",Sherlock Holmes,Gregson
1.3,“Look at that!”,Sherlock Holmes,Gregson
1.3,“What do you think of that?”,Sherlock Holmes,Gregson
1.3,"“This was overlooked because it was in the darkest corner of the room, and no one thought of looking there. The murderer has written it with his or her own blood. See this smear where it has trickled down the wall! That disposes of the idea of suicide anyhow. Why was that corner chosen to write it on? I will tell you. See that candle on the mantelpiece. It was lit at the time, and if it was lit this corner would be the brightest instead of the darkest portion of the wall.”",Sherlock Holmes,Gregson
1.3,“And what does it mean now that you have found it?”,Gregson,Sherlock Holmes
1.3,"“Mean? Why, it means that the writer was going to put the female name Rachel, but was disturbed before he or she had time to finish. You mark my words, when this case comes to be cleared up you will find that a woman named Rachel has something to do with it. It’s all very well for you to laugh, Mr. Sherlock Holmes. You may be very smart and clever, but the old hound is the best, when all is said and done.”",Lestrade,Sherlock Holmes
1.3,“I really beg your pardon!”,Sherlock Holmes,Lestrade
1.3,"“You certainly have the credit of being the first of us to find this out, and, as you say, it bears every mark of having been written by the other participant in last night’s mystery. I have not had time to examine this room yet, but with your permission I shall do so now.”",Sherlock Holmes,Lestrade
1.3,"“They say that genius is an infinite capacity for taking pains,”",Sherlock Holmes,Lestrade
1.3,"“It’s a very bad definition, but it does apply to detective work.”",Sherlock Holmes,Lestrade
1.3,"“They say that genius is an infinite capacity for taking pains,”",Sherlock Holmes,Gregson
1.3,"“It’s a very bad definition, but it does apply to detective work.”",Sherlock Holmes,Gregson
1.3,"“They say that genius is an infinite capacity for taking pains,”",Sherlock Holmes,John Watson
1.3,"“It’s a very bad definition, but it does apply to detective work.”",Sherlock Holmes,John Watson
1.3,"“What do you think of it, sir?”",Gregson,Sherlock Holmes
1.3,"“What do you think of it, sir?”",Lestrade,Sherlock Holmes
1.3,"“It would be robbing you of the credit of the case if I was to presume to help you,”",Sherlock Holmes,Lestrade
1.3,“You are doing so well now that it would be a pity for anyone to interfere.”,Sherlock Holmes,Lestrade
1.3,"“If you will let me know how your investigations go,”",Sherlock Holmes,Lestrade
1.3,“I shall be happy to give you any help I can. In the meantime I should like to speak to the constable who found the body. Can you give me his name and address?”,Sherlock Holmes,Lestrade
1.3,"“It would be robbing you of the credit of the case if I was to presume to help you,”",Sherlock Holmes,Gregson
1.3,“You are doing so well now that it would be a pity for anyone to interfere.”,Sherlock Holmes,Gregson
1.3,"“If you will let me know how your investigations go,”",Sherlock Holmes,Gregson
