chapter,dialogue,speaker,receiver
2,Blue!,Hodaki,Ashe
2,Yellow!,Ashe,Jansen
2,Red!,Jansen,Ashe
2,Blue!,Hodaki,Jansen
2,Yellow!,Ashe,Hodaki
2,Red—caravan!,Jansen,Ashe
2,Red—caravan!,Jansen,Hodaki
2,Blue—raiders!,Hodaki,Jansen
2,Blue—raiders!,Hodaki,Ashe
2,Yellow—unknown factor.,Ashe,Hodaki
2,Yellow—unknown factor.,Ashe,Jansen
2,Is the unknown factor a natural phenomenon?,Hodaki,Ashe
2,Is the unknown factor a natural phenomenon?,Hodaki,Jansen
2,No—tribe on the march.,Jansen,Hodaki
2,Ah!,Hodaki,Jansen
2,"Camped at a spring,",Jansen,Ashe
2,but with plenty of sentries out.,Jansen,Ashe
2,"And they'll have to stay there for all of me. We could keep this up till doomsday, and nobody would crack.",Jansen,Ashe
2,"Camped at a spring,",Jansen,Hodaki
2,but with plenty of sentries out.,Jansen,Hodaki
2,"And they'll have to stay there for all of me. We could keep this up till doomsday, and nobody would crack.",Jansen,Hodaki
2,No,Hodaki,Jansen
2,someday one of you will make a little mistake and then——,Hodaki,Jansen
2,And then whatever bully boys you're running will clobber us?,Jansen,Hodaki
2,"That'll be the day! Anyway, truce for now.",Jansen,Hodaki
2,Granted!,Hodaki,Jansen
2,"Any time you want a return engagement it'll be fine with me,",Ashe,Jansen
2,"Any time you want a return engagement it'll be fine with me,",Ashe,Hodaki
2,"Put that off for a month or so, Gordon. We push into time tomorrow. Take care of yourselves, you two. I don't want to have to break in another set of players when I come back.",Jansen,Hodaki
2,"Put that off for a month or so, Gordon. We push into time tomorrow. Take care of yourselves, you two. I don't want to have to break in another set of players when I come back.",Jansen,Ashe
2,See you tonight.,Kurt,Ross Murdock
3,What's the pitch?,Ross Murdock,Kurt
3,You are ready?,Kurt,Ross Murdock
3,Did you think that I wouldn't be?,Ross Murdock,Kurt
3,No.,Kurt,Ross Murdock
3,"I would not be here otherwise, Murdock. You are plenty ... have plenty on the ball. You see, I have heard things about you. Like me, you were tricked into this game. Tell me, is it not true that you saw Hardy tonight.",Kurt,Ross Murdock
3,"You hear a lot, don't you?",Ross Murdock,Kurt
3,"I hear, I see, I learn more than these big mouths, like the major with all his do's and don'ts. That I can tell you! You saw Hardy. Do you want to be a Hardy?",Kurt,Ross Murdock
3,Is there any danger of that?,Ross Murdock,Kurt
3,Danger!,Kurt,Ross Murdock
3,"Danger—you have not yet known the meaning of danger, little man. Not until now. I ask you again, do you want to end like Hardy? They have not yet looped you in with all their big talk. That is why I came here tonight. If you know what is good for you, Murdock, you will make a break before they tape you——",Kurt,Ross Murdock
3,Tape me?,Ross Murdock,Kurt
3,"Oh, yes. They have many tricks here. They are big brains, eggheads, all of them with their favorite gadgets. They put you through a machine to get you registered on a tape. Then, my boy, you cannot get outside the base without ringing all the alarms! Neat, eh? So if you want to make a break, you must try it before they tape you.",Kurt,Ross Murdock
3,"They must have you taped,",Ross Murdock,Kurt
3,"They believe that they have. Only they are not as smart as they believe, the major and the rest, including Millaird! No, I have a fighting chance to get out of this place, only I cannot do it alone. That is why I have been waiting for them to bring in a new guy I could get to before they had him pinned down for good. You are tough, Murdock. I saw your record, and I'm betting that you did not come here with the intention of staying. So—here is your chance to go along with one who knows the ropes. You will not have such a good one again.",Kurt,Ross Murdock
3,"Look here, Murdock, maybe you think it's easy to break out of here. Do you know where we are, boy? We're near enough to the North Pole as makes no difference! Are you going to leg it back some hundreds of miles through thick ice and snow? A nice jaunt if you make it. I do not think that you can—not without plans and a partner who knows what he is about.",Kurt,Ross Murdock
3,And how do we go? Steal one of those atomjets? I'm no pilot—are you?,Ross Murdock,Kurt
3,"They have other things besides a-j's here. This place is strictly hush-hush. Even the a-j's do not set down too often for fear they will be tracked by radar. Where have you been, boy? Don't you know the Reds are circling around up here? These fellows watch for Red activity, and the Reds watch them. They play it under the table on both sides. We get our supplies overland by cats——",Kurt,Ross Murdock
3,Cats?,Ross Murdock,Kurt
3,"Snow sleds, like tractors,",Kurt,Ross Murdock
3,"Our stuff is dumped miles to the south, and the cats go down once a month to bring it back. There's no trick to driving a cat, and they tear off the miles——",Kurt,Ross Murdock
3,How many miles to the south?,Ross Murdock,Kurt
3,"Maybe only a hundred or so, boy. But I have more than one plan, and I'm willing to risk my neck. Do you think I intend to start out blind?",Kurt,Ross Murdock
3,"Well, what do you say, Murdock? Are you with me or not?",Kurt,Ross Murdock
3,I'll take some time to chew it over——,Ross Murdock,Kurt
3,"Time is what you do not have, boy. Tomorrow they will tape you. Then—no over the wall for you.",Kurt,Ross Murdock
3,"Suppose you tell me your trick for fooling the tape,",Ross Murdock,Kurt
3,"That I cannot do, seeing as how it lies in the way my brain is put together. Do you think I can break open my skull and hand you a piece of what is inside? No, you jump with me tonight or else I must wait to grab the next one who lands here.",Kurt,Ross Murdock
3,Tonight....,Ross Murdock,Kurt
3,"Yes, tonight!",Kurt,Ross Murdock
3,"I have been preparing for a long time, but there must be two of us. We have to take turns driving the cat. There can be no rest until we are far to the south. I tell you it will be easy. There are food caches arranged along the route for emergencies. I have a map marked to show where they are. Are you coming?",Kurt,Ross Murdock
3,"Remember Hardy? He was not the first, and he will not be the last. They use us up fast here. That is why they brought you so quickly. I tell you, it is better to take your chance with me than on a run.",Kurt,Ross Murdock
3,And what is a run?,Ross Murdock,Kurt
3,"So they have not yet briefed you? Well, a run is a little jaunt back into history—not nice comfortable history such as you learned out of a book when you were a little kid. No, you are dropped back into some savage time before history——",Kurt,Ross Murdock
3,That's impossible!,Ross Murdock,Kurt
3,"Yes? You saw those two big blond boys tonight, did you not? Why do you suppose they sport those braids? Because they are taking a little trip into the time when he-men wore braids, and carried axes big enough to crack a man open! And Hodaki and his partner.... Ever hear of the Tartars? Maybe you have not, but once they nearly overran most of Europe.",Kurt,Ross Murdock
3,"Suppose you get sent back to a time where they do not like strangers,",Kurt,Ross Murdock
3,Then you are in for it. That is what happened to Hardy. And it is not good—not good at all!,Kurt,Ross Murdock
3,But why?,Ross Murdock,Kurt
3,"That they do not tell you until just before you take your first run. I do not want to know why. But I do know that I am not going to be sent into any wilderness where a savage may run a spear through me just to prove something or other for Major John Kelgarries, or for Millaird either. I will try my plan first.",Kurt,Ross Murdock
3,Why the dance pattern?,Ross Murdock,Kurt
3,Would you rather be scattered in little pieces all over the landscape?,Kurt,Ross Murdock
3,"The base doesn't need fences two miles high to keep us in, or others out; they take other precautions. You should thank fortune we got through that first mine field without blowing....",Kurt,Ross Murdock
3,So it isn't as easy to get away as you said?,Ross Murdock,Kurt
3,Shut up!,Kurt,Ross Murdock
3,"Good thing these cats are atomic powered,",Kurt,Ross Murdock
3,We'd run out of fuel otherwise.,Kurt,Ross Murdock
3,We are out!,Kurt,Ross Murdock
3,We have to drive turn and turn about—your turn.,Kurt,Ross Murdock
3,"Well, I can drive a car—but this——",Ross Murdock,Kurt
3,Is fool proof.,Kurt,Ross Murdock
3,"The worst was getting through the mine fields, and we are out of that now. See here—",Kurt,Ross Murdock
3,"this will keep you straight. If you can steer a car, you can steer this. Watch!",Kurt,Ross Murdock
3,"See? You keep that light steady, and you are on course. If it begins to blink, you cast about until it steadies again. Simple enough for a baby. Take over and see.",Kurt,Ross Murdock
3,"Your own private alarm clock, Murdock? Okay, I do not quarrel with anyone who uses his head. But you had better get some shut-eye, or we will not keep rolling.",Kurt,Ross Murdock
3,What's the matter? Engine trouble?,Ross Murdock,Kurt
3,No. It is just that we are to wait here——,Kurt,Ross Murdock
3,Wait? For what? Kelgarries to come along and pick us up?,Ross Murdock,Kurt
3,"The major? How I wish that he would arrive presently. What a surprise he would receive! Not two little mice to be put back into their cages, but the tiger cat, all claws and fangs!",Kurt,Ross Murdock
3,Your friends late?,Ross Murdock,Kurt
3,"Not yet, and if you now plan to play the hero, Murdock, think better of it!",Kurt,Ross Murdock
3,This is an operation which has been most carefully planned and upon which a great deal depends. No one shall spoil it for us now——,Kurt,Ross Murdock
3,"The Reds planted you on the project, eh?",Ross Murdock,Kurt
3,"There is no need for me to tell you the sad tale of my life, Murdock. And you would doubtless find much of it boring. If you wish to continue to live—for a while, at least—you will remain quiet and do as you are told.",Kurt,Ross Murdock
4,"You got off to a bad start here, Murdock.",Major John Kelgarries,Ross Murdock
4,"You're going to have a second chance, so consider yourself lucky. We know you aren't another plant of our enemies, a fact that saves your neck. Do you have anything to add to your story?",Major John Kelgarries,Ross Murdock
4,"No, sir.",Ross Murdock,Major John Kelgarries
4,But you have some questions?,Major John Kelgarries,Ross Murdock
4,A lot of them.,Ross Murdock,Major John Kelgarries
4,Why don't you ask them?,Major John Kelgarries,Ross Murdock
4,A wise guy doesn't spill his ignorance. He uses his eyes and ears and keeps his trap shut——,Ross Murdock,Major John Kelgarries
4,And goes off half cocked as a result....,Major John Kelgarries,Ross Murdock
4,I don't think you would have enjoyed the company of Kurt's paymaster.,Major John Kelgarries,Ross Murdock
4,I didn't know about him then—not when I left here.,Ross Murdock,Major John Kelgarries
4,"Yes, and when you discovered the truth, you took steps. Why?",Major John Kelgarries,Ross Murdock
4,Because I don't like the line-up on his side of the fence.,Ross Murdock,Major John Kelgarries
4,"That single fact has saved your neck this time, Murdock. Step out of line once more, and nothing will help you. But just so we won't have to worry about that, suppose you ask a few of those questions.",Major John Kelgarries,Ross Murdock
4,How much of what Kurt fed me is the truth?,Ross Murdock,Major John Kelgarries
4,I mean all that stuff about shooting back in time.,Ross Murdock,Major John Kelgarries
4,All of it.,Major John Kelgarries,Ross Murdock
4,But why—how—?,Ross Murdock,Major John Kelgarries
4,"You have us on a spot, Murdock. Because of your little expedition, we have to tell you more now than we tell any of our men before the final briefing. Listen, and then forget all of it except what applies to the job at hand.",Major John Kelgarries,Ross Murdock
4,"The Reds shot up Sputnik and then Muttnik.... When—? Twenty-five years ago. We got up our answers a little later. There were a couple of spectacular crashes on the moon, then that space station that didn't stay in orbit, after that—stalemate. In the past quarter century we've had no voyages into space, nothing that was prophesied. Too many bugs, too many costly failures. Finally we began to get hints of something big, bigger than any football roaming the heavens.",Major John Kelgarries,Ross Murdock
4,Any discovery in science comes about by steps. It can be traced back through those steps by another scientist. But suppose you were confronted by a result which apparently had been produced without any preliminaries. What would be your guess concerning it?,Major John Kelgarries,Ross Murdock
4,"Either that the steps were kept strictly secret,",Ross Murdock,Major John Kelgarries
4,or that the result didn't rightfully belong to the man who said he discovered it.,Ross Murdock,Major John Kelgarries
4,Suppose this discovery was vital to your life—what would you do?,Major John Kelgarries,Ross Murdock
4,Try to find the source!,Ross Murdock,Major John Kelgarries
4,"There you have it! Within the past five years our friends across the way have come up with three such discoveries. One we were able to trace, duplicate, and use, with a few refinements of our own. The other two remain rootless; yet they are linked with the first. We are now attempting to solve that problem, and the time grows late. For some reason, though the Reds now have their super, super gadgets, they are not yet ready to use them. Sometimes the things work, and sometimes they fail. Everything points to the fact that the Reds are now experimenting with discoveries which are not basically their own——",Major John Kelgarries,Ross Murdock
4,Where did they get them? From another world?,Ross Murdock,Major John Kelgarries
4,"In a way it's another world, but the world of time—not space. Seven years ago we got a man out of East Berlin. He was almost dead, but he lived long enough to record on tape some amazing data, so wild it was almost dismissed as the ravings of delirium. But that was after Sputnik, and we didn't dare disregard any hints from the other side of the Iron Curtain. So the recording was turned over to our scientists, who proved it had a core of truth.",Major John Kelgarries,Ross Murdock
4,Time travel has been written up in fiction; it has been discussed otherwise as an impossibility. Then we discover that the Reds have it working——,Major John Kelgarries,Ross Murdock
4,"You mean, they go into the future and bring back machines to use now.",Ross Murdock,Major John Kelgarries
4,"Not the future, the past.",Major John Kelgarries,Ross Murdock
4,"Look here, I know I haven't the education of your big brains, but I do know that the farther back you go into history the simpler things are. We ride in cars; only a hundred years ago men drove horses. We have guns; go back a little and you'll find them waving swords and shooting guys with bows and arrows—those that don't wear tin plate on them to stop being punctured——",Ross Murdock,Major John Kelgarries
4,"Only they were, after all,",Ashe,Ross Murdock
4,"Look at Agincourt, m'lad, and remember what arrows did to the French knights in armor.",Ashe,Ross Murdock
4,Anyway,Ross Murdock,Major John Kelgarries
4,"the farther back you go, the simpler things are. How are the Reds going to find anything in history we can't beat today?",Ross Murdock,Major John Kelgarries
4,"That is a point which has baffled us for several years now,",Major John Kelgarries,Ross Murdock
4,"Only it is not how they are going to find it, but where. Because somewhere in the past of this world they have contacted a civilization able to produce weapons and ideas so advanced as to baffle our experts. We have to find that source and either mine it ourselves or close it off. As yet we're still trying to find it.",Major John Kelgarries,Ross Murdock
4,It must be a long way back. Those guys who discover tombs and dig up old cities—couldn't they give you some hints? Wouldn't a civilization like that have left something we could find today?,Ross Murdock,Major John Kelgarries
4,"It depends,",Ashe,Ross Murdock
4,"upon the type of civilization. The Egyptians built in stone, grandly. They used tools and weapons of copper, bronze, and stone, and they were considerate enough to operate in a dry climate which preserved relics well. The cities of the Fertile Crescent built in mud brick and used stone, copper, and bronze tools. They also chose a portion of the world where climate was a factor in keeping their memory green.",Ashe,Ross Murdock
4,"The Greeks built in stone, wrote their books, kept their history to bequeath it to their successors, and so did the Romans. And on this side of the ocean the Incas, the Mayas, the unknown races before them, and the Aztecs of Mexico all built in stone and worked in metal. And stone and metal survive. But what if there had been an early people who used plastics and brittle alloys, who had no desire to build permanent buildings, whose tools and artifacts were meant to wear out quickly, perhaps for economic reasons? What would they leave us—considering, perhaps, that an ice age had intervened between their time and ours, with glaciers to grind into dust what little they did possess?",Ashe,Ross Murdock
4,"There is evidence that the poles of our world have changed and that this northern region was once close to being tropical. Any catastrophe violent enough to bring about a switch in the poles of this planet might well have wiped out all traces of a civilization, no matter how superior. We have good reason to believe that such a people must have existed, but we must find them.",Ashe,Ross Murdock
4,And Ashe is a convert from the skeptics—,Major John Kelgarries,Ross Murdock
4,"he is an archaeologist, one of your tomb discoverers, and knows what he is talking about. We must do our hunting in time earlier than the first pyramid, earlier than the first group of farmers who settled by the Tigris River. But we have to let the enemy guide us to it. That's where you come in.",Major John Kelgarries,Ross Murdock
4,Why me?,Ross Murdock,Major John Kelgarries
4,"That is a question to which our psychologists are still trying to find the answer, my young friend. It seems that the majority of the people of the several nations linked together in this project have become too civilized. The reactions of most men to given sets of circumstances have become set in regular patterns and they cannot break that conditioning, or if personal danger forces them to change those patterns, they are afterward so adrift they cannot function at their highest potential. Teach a man to kill, as in war, and then you have to recondition him later.",Major John Kelgarries,Ross Murdock
4,"But during these same wars we also develop another type. He is the born commando, the secret agent, the expendable man who lives on action. There are not many of this kind, and they are potent weapons. In peacetime that particular collection of emotions, nerve, and skills becomes a menace to the very society he has fought to preserve during a war. He is pressured by the peaceful environment into becoming a criminal or a misfit.",Major John Kelgarries,Ross Murdock
4,"The men we send out from here to explore the past are not only given the best training we can possibly supply for them, but they are all of the type once heralded as the frontiersman. History is sentimental about that type—when he is safely dead—but the present finds him difficult to live with. Our time agents are misfits in the modern world because their inherited abilities are born out of season now. They must be young enough and possess a certain brand of intelligence to take the stiff training and to adapt, and they must pass our tests. Do you understand?",Major John Kelgarries,Ross Murdock
4,You want crooks because they are crooks——,Ross Murdock,Major John Kelgarries
4,"No, not because they are crooks, but because they are misfits in their time and place. Don't, I beg of you, Murdock, think that we are operating a penal institution here. You would never have been recruited if you hadn't tested out to suit us. But the man who may be labeled murderer in his own period might rank as a hero in another, an extreme example, but true. When we train a man he not only can survive in the period to which he is sent, but he can also pass as a native born in that era——",Major John Kelgarries,Ross Murdock
4,What about Hardy?,Ross Murdock,Major John Kelgarries
4,"There is no operation which is foolproof. We have never said that we don't run into trouble or that there is no danger in this. We have to deal with both natives of different times, and if we are lucky and hit a hot run, with the Reds. They suspect that we are casting about, hunting their trail. They managed to plant Kurt Vogel on us. He had an almost perfect cover and conditioning. Now you have it straight, Murdock. You satisfy our tests, and you'll be given a chance to say yes or no before your first run. If you say no and refuse duty, it means you must become an exile and stay here. No man who has gone through our training can return to normal life; there is too much chance of his being picked up and sweated by the opposition.",Major John Kelgarries,Ross Murdock
4,Never?,Ross Murdock,Major John Kelgarries
4,"This may be a long-term operation. We hope not, but there is no way of telling now. You will be in exile until we either find what we want or fail entirely. That is the last card I have to lay on the table.",Major John Kelgarries,Ross Murdock
4,"You're slated for training tomorrow. Think it over and then let us know your answer when the time comes. Meanwhile, you are to be teamed with Ashe, who will see to putting you through the course.",Major John Kelgarries,Ross Murdock
4,Bronze.,Ashe,Ross Murdock
4,"Do you know, Murdock, that bronze can be tougher than steel? If it wasn't that iron is so much more plentiful and easier to work, we might never have come out of the Bronze Age? Iron is cheaper and easier found, and when the first smith learned to work it, an end came to one way of life, a beginning to another.",Ashe,Ross Murdock
4,"Yes, bronze is important to us here, and so are the men who worked it. Smiths were sacred in the old days. We know that they made a secret of their trade which overrode the bounds of district, tribe, and race. A smith was welcome in any village, his person safe on the road. In fact, the roads themselves were under the protection of the gods; there was peace on them for all wayfarers. The land was wide then, and it was empty. The tribes were few and small, and there was plenty of room for the hunter, the farmer, the trader. Life was not such a scramble of man against man, but rather of man against nature——",Ashe,Ross Murdock
4,No wars?,Ross Murdock,Ashe
4,Then why the bow-and-dagger drill?,Ross Murdock,Ashe
4,"Wars were small affairs, disputes between family clans or tribes. As for the bow, there were formidable things in the forests—giant animals, wolves, wild boars——",Ashe,Ross Murdock
4,Cave bears?,Ross Murdock,Ashe
4,"Get it through your head, Murdock, that history is much longer than you seem to think. Cave bears and the use of bronze weapons do not overlap. No, you will have to go back maybe several thousand years earlier and then hunt your bear with a flint-tipped spear in your hand if you are fool enough to try it.",Ashe,Ross Murdock
4,Or take a rifle with you.,Ross Murdock,Ashe
4,"That is just what you don't do, Murdock, not from this base, as you well know by now. You take no weapon from here which is not designed for the period in which your run lies. Just as you do not become embroiled while on that run in any action which might influence the course of history.",Ashe,Ross Murdock
4,What would happen if someone did break that rule?,Ross Murdock,Ashe
4,"We don't know—we just don't know. So far we have operated in the fringe territory, keeping away from any district with a history which we can trace accurately. Maybe some day—",Ashe,Ross Murdock
4,"maybe some day we can stand and watch the rise of the pyramids, witness the march of Alexander's armies.... But not yet. We stay away from history, and we are sure that the Reds are doing the same. It has become the old problem once presented by the atom bomb. Nobody wants to upset the balance and take the consequences. Let us find their outpost and we'll withdraw our men from all the other runs at once.",Ashe,Ross Murdock
4,"What makes everyone so sure that they have an outpost somewhere? Couldn't they be working right at the main source, sir?",Ross Murdock,Ashe
4,"They could, but for some reason they are not. As for how we know that much, it's information received.",Ashe,Ross Murdock
4,"No, the source is much farther back in time than their halfway post. But if we find that, then we can trail them. So we plant men in suitable eras and hope for the best. That's a good weapon you have there, Murdock. Are you willing to wear it in earnest?",Ashe,Ross Murdock
4,Right away?,Ross Murdock,Ashe
4,You can take your trial run any time—tomorrow.,Ashe,Ross Murdock
4,Where—to when?,Ross Murdock,Ashe
4,"An island which will later be Britain. When? About two thousand b.c. Beaker traders were beginning to open their stations there. This is your graduation exercise, Murdock.",Ashe,Ross Murdock
4,"If you say I can do it, I'm willing to try.",Ross Murdock,Ashe
5,Inland from here....,Ashe,Ross Murdock
5,Our post?,Ross Murdock,Ashe
5,"They weren't rushed. Or if they were, the attackers covered their trail afterward—",Ross Murdock,Ashe
5,"Tribesmen would not have muddled a trail if they had won. No, this was no regular attack. There have been no signs of a war party coming or leaving.",Ashe,Ross Murdock
5,Then what?,Ross Murdock,Ashe
5,Lightning for one thing—and we'd better hope it was that. Or—,Ashe,Ross Murdock
5,Or—?,Ross Murdock,Ashe
5,Or we have made contact with the Reds in the wrong way!,Ashe,Ross Murdock
5,The Reds?,Ross Murdock,Ashe
5,It must have been. This damage was done by explosives.,Ashe,Ross Murdock
5,Eleven—,Ashe,Ross Murdock
5,"We have about ten days to stick it out,",Ashe,Ross Murdock
5,and it seems we may be able to use them to better advantage than just letting you learn how it feels to walk about some four thousand years before you were born. We have to find out—if we can—what happened here and why!,Ashe,Ross Murdock
5,Dig?,Ross Murdock,Ashe
5,Some digging is indicated.,Ashe,Ross Murdock
5,"They must have hit at night,",Ashe,Ross Murdock
5,"Only at that time would they find everyone here. Men don't trust a night filled with ghosts, and our agents conform to local custom as usual. All of the post people could be erased with one bomb at night.",Ashe,Ross Murdock
5,How long ago?,Ross Murdock,Ashe
5,"Maybe two days. And this attack came without any warning, or Sandy would have sent a message. He had no suspicions at all; his last reports were all routine, which means that if they were on to him—and they must have been, judging by the results—he was not even aware of it.",Ashe,Ross Murdock
5,What do we do now?,Ross Murdock,Ashe
5,We wash—no—,Ashe,Ross Murdock
5,"we don't! We go to Nodren's village. We are frightened, grief-stricken. We have found our kinsmen dead under strange circumstances. We ask questions of one to whom I am known as an inhabitant of this post.",Ashe,Ross Murdock
5,"Ho, one comes to speak with Nodren—Nodren of the Hill!",Ashe,Lal
5,Who speaks to Nodren—?,Lal,Ashe
5,One who has hunted with him and feasted with him. The one who gave into his hand the friendship gift of the ever-sharp knife. It is Assha of the traders——,Ashe,Lal
5,"Go far from us, man of ill luck. You who are hunted by the evil spirits.",Lal,Ashe
